job,marital,education,default,housing,loan,contact,month,poutcome
management,single,tertiary,no,no,no,cellular,apr,unknown
admin,single,secondary,no,yes,no,cellular,apr,failure
student,single,secondary,no,no,no,cellular,apr,unknown
technician,married,secondary,no,yes,yes,cellular,apr,unknown
services,single,secondary,no,yes,no,cellular,apr,unknown
admin,divorced,secondary,no,no,no,cellular,apr,failure
retired,married,secondary,no,no,no,cellular,apr,unknown
self-employed,divorced,tertiary,no,yes,no,cellular,apr,unknown
housemaid,married,primary,no,no,no,cellular,apr,unknown
management,married,unknown,no,no,no,cellular,apr,unknown
retired,divorced,tertiary,no,no,no,cellular,apr,unknown
housemaid,married,tertiary,no,no,no,cellular,apr,unknown
unemployed,married,tertiary,no,no,no,cellular,apr,unknown
admin,single,secondary,no,no,no,cellular,apr,unknown
unemployed,single,secondary,no,no,no,cellular,apr,unknown
management,married,secondary,no,no,no,cellular,apr,unknown
services,married,primary,no,yes,no,telephone,apr,failure
retired,divorced,primary,no,no,no,cellular,apr,unknown
services,married,secondary,no,yes,no,cellular,apr,failure
technician,married,secondary,no,yes,no,cellular,apr,unknown
admin,married,secondary,no,no,no,cellular,apr,unknown
services,married,primary,no,yes,no,cellular,apr,unknown
blue-collar,married,secondary,no,no,no,cellular,apr,unknown
services,single,secondary,no,no,no,cellular,apr,unknown
blue-collar,single,secondary,no,yes,no,cellular,apr,unknown
housemaid,divorced,primary,no,no,no,telephone,apr,unknown
admin,single,secondary,no,yes,no,cellular,apr,unknown
technician,single,secondary,no,yes,no,cellular,apr,unknown
management,single,tertiary,no,yes,no,cellular,apr,failure
blue-collar,married,primary,no,no,no,cellular,apr,unknown
unemployed,married,tertiary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,unknown
management,divorced,tertiary,no,no,no,cellular,apr,unknown
blue-collar,married,secondary,yes,yes,no,cellular,apr,other
housemaid,married,unknown,no,yes,no,cellular,apr,other
technician,married,secondary,no,no,no,cellular,apr,unknown
entrepreneur,single,tertiary,no,yes,no,cellular,apr,success
technician,married,secondary,no,yes,no,cellular,apr,failure
admin,married,secondary,no,no,no,cellular,apr,unknown
technician,married,secondary,no,no,no,cellular,apr,unknown
services,married,secondary,no,yes,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,unknown
blue-collar,single,secondary,no,yes,no,cellular,apr,other
management,married,primary,no,no,no,cellular,apr,unknown
blue-collar,married,secondary,no,yes,yes,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,unknown
technician,divorced,secondary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,yes,no,cellular,apr,unknown
technician,single,secondary,no,yes,no,cellular,apr,unknown
technician,married,tertiary,no,yes,no,cellular,apr,unknown
services,married,secondary,no,yes,no,cellular,apr,failure
technician,married,secondary,no,no,yes,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,unknown
technician,single,tertiary,no,yes,no,cellular,apr,failure
student,single,tertiary,no,no,no,cellular,apr,unknown
services,divorced,primary,no,yes,no,cellular,apr,failure
admin,single,secondary,no,yes,no,cellular,apr,unknown
retired,divorced,primary,no,yes,yes,cellular,apr,unknown
blue-collar,married,secondary,no,yes,no,cellular,apr,other
management,divorced,tertiary,no,yes,no,cellular,apr,success
management,married,tertiary,no,no,no,cellular,apr,unknown
blue-collar,married,primary,no,yes,no,cellular,apr,failure
admin,single,secondary,no,yes,no,cellular,apr,unknown
self-employed,married,tertiary,no,yes,yes,cellular,apr,unknown
services,single,secondary,no,yes,no,cellular,apr,unknown
management,married,tertiary,no,yes,no,cellular,apr,other
management,single,tertiary,no,yes,no,cellular,apr,unknown
blue-collar,married,primary,no,yes,no,cellular,apr,failure
technician,married,secondary,no,yes,no,cellular,apr,failure
technician,single,secondary,yes,yes,no,cellular,apr,unknown
management,married,secondary,yes,yes,no,cellular,apr,failure
technician,married,secondary,no,no,no,cellular,apr,unknown
technician,single,secondary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,yes,no,cellular,apr,unknown
self-employed,married,secondary,no,yes,no,cellular,apr,other
retired,married,secondary,no,no,no,telephone,apr,unknown
technician,married,secondary,no,yes,no,telephone,apr,success
admin,married,secondary,no,yes,yes,cellular,apr,unknown
technician,married,secondary,no,no,no,cellular,apr,unknown
technician,married,secondary,no,no,no,cellular,apr,unknown
technician,married,primary,no,yes,no,cellular,apr,unknown
entrepreneur,married,secondary,no,yes,no,cellular,apr,unknown
technician,married,secondary,no,yes,no,cellular,apr,unknown
management,single,secondary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,yes,no,cellular,apr,unknown
management,married,primary,no,yes,no,cellular,apr,unknown
unknown,married,primary,no,yes,yes,cellular,apr,success
blue-collar,single,secondary,no,no,no,cellular,apr,unknown
blue-collar,divorced,secondary,no,yes,no,cellular,apr,unknown
retired,married,secondary,no,no,no,cellular,apr,unknown
retired,married,secondary,no,no,no,telephone,apr,unknown
blue-collar,married,secondary,yes,yes,no,cellular,apr,unknown
management,married,tertiary,no,yes,yes,cellular,apr,unknown
blue-collar,married,primary,yes,yes,yes,cellular,apr,unknown
technician,married,tertiary,no,no,no,cellular,apr,unknown
blue-collar,married,primary,no,yes,no,cellular,apr,unknown
retired,married,primary,no,no,no,cellular,apr,unknown
technician,single,tertiary,no,yes,no,cellular,apr,failure
self-employed,divorced,tertiary,no,yes,no,cellular,apr,unknown
retired,divorced,tertiary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,unknown
student,single,secondary,no,no,no,cellular,apr,unknown
admin,divorced,secondary,no,no,yes,cellular,apr,unknown
unemployed,divorced,secondary,no,no,no,cellular,apr,unknown
blue-collar,married,secondary,no,no,no,cellular,apr,unknown
retired,married,primary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,unknown
entrepreneur,married,tertiary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,yes,no,cellular,apr,unknown
technician,married,secondary,no,yes,no,cellular,apr,unknown
services,single,secondary,no,no,no,cellular,apr,unknown
technician,single,secondary,no,yes,no,cellular,apr,unknown
blue-collar,divorced,primary,no,yes,no,cellular,apr,unknown
blue-collar,married,unknown,no,yes,no,cellular,apr,unknown
student,single,secondary,no,yes,no,cellular,apr,unknown
blue-collar,divorced,secondary,no,yes,no,cellular,apr,unknown
management,single,tertiary,no,yes,no,cellular,apr,unknown
student,single,tertiary,no,no,no,cellular,apr,unknown
technician,single,secondary,no,no,no,cellular,apr,unknown
retired,married,unknown,no,no,no,telephone,apr,unknown
retired,divorced,primary,no,no,no,telephone,apr,unknown
retired,married,tertiary,no,no,no,telephone,apr,unknown
technician,married,secondary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,unknown
retired,married,secondary,no,no,no,cellular,apr,unknown
unemployed,married,primary,no,no,no,cellular,apr,unknown
student,single,tertiary,no,no,no,cellular,apr,unknown
blue-collar,single,unknown,no,no,no,cellular,apr,unknown
self-employed,married,secondary,no,no,yes,cellular,apr,success
retired,married,primary,no,no,no,telephone,apr,unknown
unknown,divorced,unknown,no,no,no,cellular,apr,unknown
blue-collar,single,secondary,no,yes,yes,cellular,apr,unknown
admin,married,tertiary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,unknown
technician,married,tertiary,no,no,no,cellular,apr,unknown
student,single,secondary,no,no,no,cellular,apr,unknown
unknown,single,unknown,no,no,no,cellular,apr,unknown
technician,married,secondary,no,yes,no,cellular,apr,unknown
admin,married,tertiary,no,no,no,cellular,apr,failure
services,married,tertiary,no,no,no,cellular,apr,unknown
retired,married,primary,no,no,no,cellular,apr,unknown
retired,married,tertiary,no,no,no,cellular,apr,unknown
management,divorced,tertiary,no,yes,no,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,failure
management,married,primary,no,yes,no,cellular,apr,unknown
admin,single,tertiary,no,yes,no,cellular,apr,other
student,single,secondary,no,no,no,cellular,apr,unknown
technician,married,secondary,no,yes,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,unknown
retired,married,primary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,yes,no,cellular,apr,failure
blue-collar,married,primary,no,no,no,cellular,apr,unknown
management,married,unknown,no,yes,no,telephone,apr,unknown
blue-collar,single,secondary,no,no,no,cellular,apr,unknown
services,single,secondary,no,no,no,cellular,apr,unknown
admin,married,secondary,no,no,no,cellular,apr,unknown
services,single,unknown,no,no,no,cellular,apr,unknown
blue-collar,single,tertiary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,unknown
retired,married,primary,no,no,no,cellular,apr,unknown
unemployed,single,primary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,unknown
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown
management,single,tertiary,no,yes,no,cellular,apr,failure
technician,single,tertiary,no,no,no,cellular,apr,failure
technician,married,tertiary,no,no,no,cellular,apr,unknown
admin,married,tertiary,no,yes,no,cellular,apr,unknown
management,divorced,tertiary,no,no,no,cellular,apr,unknown
retired,married,primary,no,no,no,cellular,apr,unknown
self-employed,married,tertiary,no,no,no,cellular,apr,unknown
admin,single,secondary,no,yes,no,cellular,apr,unknown
blue-collar,married,secondary,no,yes,no,cellular,apr,other
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown
admin,married,secondary,no,yes,no,cellular,apr,failure
technician,single,tertiary,no,no,no,cellular,apr,unknown
technician,single,secondary,no,yes,no,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,unknown
admin,single,secondary,no,no,no,cellular,apr,unknown
unemployed,married,secondary,no,no,no,cellular,apr,unknown
retired,married,primary,no,no,no,cellular,apr,unknown
services,married,secondary,no,yes,no,cellular,apr,success
technician,married,secondary,no,yes,no,cellular,apr,failure
management,married,tertiary,no,no,no,cellular,apr,failure
management,married,tertiary,no,yes,no,cellular,apr,unknown
student,single,secondary,no,no,no,cellular,apr,unknown
unemployed,single,tertiary,no,no,no,cellular,apr,success
retired,married,tertiary,no,no,no,cellular,apr,unknown
technician,married,tertiary,no,no,no,cellular,apr,unknown
retired,divorced,secondary,no,yes,no,cellular,apr,unknown
blue-collar,married,secondary,no,yes,no,cellular,apr,success
admin,married,secondary,no,no,no,cellular,apr,success
student,single,secondary,no,no,no,cellular,apr,unknown
student,single,secondary,no,no,no,cellular,apr,success
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,success
management,single,tertiary,no,no,no,cellular,apr,unknown
technician,married,secondary,no,no,no,cellular,apr,unknown
admin,married,secondary,no,yes,no,cellular,apr,unknown
technician,married,secondary,no,no,no,cellular,apr,other
management,divorced,tertiary,no,no,no,cellular,apr,success
blue-collar,married,unknown,no,yes,no,cellular,apr,unknown
blue-collar,married,secondary,no,no,no,cellular,apr,success
self-employed,married,primary,no,yes,yes,cellular,apr,unknown
technician,married,unknown,no,no,no,cellular,apr,unknown
admin,divorced,secondary,no,no,no,cellular,apr,other
technician,married,tertiary,no,no,no,cellular,apr,success
blue-collar,married,primary,no,yes,no,cellular,apr,failure
self-employed,divorced,tertiary,no,yes,no,cellular,apr,other
blue-collar,married,secondary,no,no,no,cellular,apr,unknown
student,single,secondary,no,no,no,cellular,apr,unknown
unknown,married,unknown,no,no,no,cellular,apr,failure
management,single,tertiary,no,no,no,cellular,apr,unknown
admin,single,secondary,no,no,yes,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,success
technician,married,secondary,no,no,no,cellular,apr,other
services,married,secondary,no,no,no,cellular,apr,unknown
retired,married,secondary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,yes,no,cellular,apr,success
technician,married,tertiary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,yes,no,cellular,apr,failure
management,married,tertiary,no,no,no,cellular,apr,unknown
admin,single,tertiary,no,no,no,cellular,apr,failure
technician,single,tertiary,no,no,no,cellular,apr,unknown
blue-collar,single,unknown,no,yes,yes,cellular,apr,failure
management,married,tertiary,no,yes,no,cellular,apr,failure
management,married,tertiary,no,no,no,cellular,apr,failure
management,married,tertiary,no,no,no,cellular,apr,success
services,married,secondary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,unknown
admin,single,secondary,no,no,no,cellular,apr,success
technician,single,secondary,no,yes,no,cellular,apr,unknown
admin,single,secondary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,unknown
unemployed,single,tertiary,no,no,no,cellular,apr,unknown
technician,married,secondary,no,yes,no,cellular,apr,unknown
technician,single,secondary,no,no,no,cellular,apr,unknown
admin,single,secondary,no,no,no,cellular,apr,success
management,married,tertiary,no,no,no,cellular,apr,unknown
self-employed,married,tertiary,no,no,no,telephone,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,success
self-employed,single,tertiary,no,no,no,cellular,apr,unknown
technician,single,secondary,no,no,no,cellular,apr,success
management,single,tertiary,no,no,no,cellular,apr,unknown
services,single,secondary,no,no,no,cellular,apr,unknown
student,single,primary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,success
student,single,unknown,no,no,no,cellular,apr,unknown
admin,single,tertiary,no,yes,yes,cellular,apr,unknown
technician,single,tertiary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,success
technician,divorced,secondary,no,yes,no,cellular,apr,success
technician,married,tertiary,no,no,no,cellular,apr,unknown
admin,married,secondary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,yes,no,cellular,apr,unknown
services,married,unknown,no,no,no,cellular,apr,unknown
student,single,secondary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,failure
entrepreneur,single,secondary,no,no,no,cellular,apr,unknown
blue-collar,married,primary,no,yes,no,cellular,apr,failure
management,single,tertiary,no,no,no,cellular,apr,unknown
technician,married,secondary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,unknown
admin,married,secondary,no,no,no,cellular,apr,unknown
admin,single,secondary,no,no,no,cellular,apr,unknown
technician,single,secondary,no,no,no,cellular,apr,unknown
retired,married,primary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,unknown
management,married,tertiary,no,no,no,cellular,apr,other
blue-collar,single,secondary,no,no,no,cellular,apr,unknown
blue-collar,single,tertiary,no,no,no,cellular,apr,success
management,married,tertiary,no,yes,no,cellular,apr,other
retired,divorced,secondary,no,no,no,cellular,apr,unknown
admin,single,secondary,no,no,no,cellular,apr,unknown
technician,married,secondary,no,no,no,telephone,apr,success
technician,married,tertiary,no,no,no,cellular,apr,unknown
admin,single,secondary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,no,no,cellular,apr,success
student,single,secondary,no,no,no,cellular,apr,unknown
management,single,tertiary,no,yes,no,cellular,apr,unknown
management,married,tertiary,no,no,no,telephone,apr,unknown
blue-collar,single,secondary,no,yes,yes,cellular,apr,other
admin,single,tertiary,no,no,no,cellular,apr,success
blue-collar,married,secondary,no,no,no,cellular,may,unknown
management,single,tertiary,no,no,no,cellular,may,unknown
unemployed,single,primary,no,no,no,cellular,may,failure
management,single,tertiary,no,no,no,cellular,may,failure
technician,married,secondary,no,no,no,cellular,may,unknown
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
student,single,tertiary,no,no,no,cellular,may,unknown
blue-collar,married,secondary,no,no,no,cellular,may,success
technician,divorced,secondary,no,yes,no,cellular,may,success
technician,married,secondary,no,no,no,cellular,may,success
management,married,tertiary,no,no,no,telephone,may,success
admin,single,secondary,no,yes,no,cellular,may,unknown
technician,single,tertiary,no,yes,no,cellular,may,success
admin,married,tertiary,no,no,no,cellular,may,unknown
technician,married,secondary,no,no,no,cellular,may,failure
technician,married,secondary,no,yes,no,cellular,may,unknown
technician,married,secondary,no,no,no,cellular,may,unknown
services,single,secondary,no,yes,no,cellular,may,other
student,single,tertiary,no,no,no,cellular,may,success
self-employed,married,secondary,no,yes,yes,cellular,may,success
technician,married,secondary,no,no,no,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,failure
management,divorced,tertiary,no,yes,no,cellular,may,unknown
self-employed,married,tertiary,no,no,no,cellular,may,success
technician,married,secondary,no,yes,no,cellular,may,unknown
self-employed,divorced,tertiary,no,no,no,cellular,may,unknown
self-employed,married,unknown,no,yes,no,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,failure
blue-collar,married,primary,no,yes,no,cellular,may,unknown
blue-collar,single,secondary,no,no,no,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,failure
management,single,tertiary,no,no,no,cellular,may,unknown
management,married,unknown,no,no,no,telephone,may,unknown
retired,married,primary,no,no,no,cellular,may,unknown
technician,single,secondary,no,yes,no,cellular,may,unknown
student,single,unknown,no,no,no,cellular,may,unknown
management,single,tertiary,no,no,no,cellular,may,unknown
student,single,secondary,no,no,no,telephone,may,unknown
entrepreneur,married,secondary,no,no,no,cellular,may,failure
technician,married,tertiary,no,no,no,telephone,may,unknown
blue-collar,married,secondary,no,no,no,cellular,may,unknown
retired,divorced,secondary,no,no,no,cellular,may,success
blue-collar,married,primary,no,yes,no,cellular,may,unknown
services,divorced,secondary,no,yes,no,cellular,may,unknown
student,single,secondary,no,yes,no,cellular,may,success
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
admin,married,secondary,no,yes,yes,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,unknown
blue-collar,single,secondary,no,yes,no,cellular,may,failure
self-employed,single,tertiary,no,yes,no,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,unknown
services,married,secondary,no,yes,no,cellular,may,unknown
blue-collar,married,unknown,no,yes,no,cellular,may,unknown
technician,single,secondary,no,yes,yes,cellular,may,failure
admin,married,secondary,no,yes,no,cellular,may,other
admin,married,secondary,no,yes,yes,cellular,may,success
technician,divorced,tertiary,yes,no,no,cellular,may,unknown
self-employed,single,tertiary,no,yes,no,cellular,may,unknown
technician,divorced,secondary,no,yes,no,cellular,may,failure
technician,single,secondary,no,yes,yes,cellular,may,unknown
management,divorced,tertiary,no,yes,yes,cellular,may,failure
entrepreneur,married,tertiary,no,yes,no,cellular,may,failure
blue-collar,single,secondary,no,yes,yes,cellular,may,unknown
admin,married,secondary,no,yes,no,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,success
admin,married,secondary,no,yes,no,cellular,may,failure
management,married,secondary,no,yes,no,cellular,may,failure
admin,single,secondary,no,yes,no,cellular,may,unknown
admin,single,secondary,no,yes,no,cellular,may,unknown
blue-collar,single,secondary,no,yes,no,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,unknown
management,married,secondary,no,yes,no,cellular,may,failure
management,married,tertiary,no,yes,no,cellular,may,unknown
management,single,tertiary,no,yes,yes,cellular,may,failure
management,married,tertiary,no,yes,yes,cellular,may,failure
management,married,tertiary,no,yes,no,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,unknown
management,married,tertiary,no,yes,yes,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,unknown
blue-collar,married,primary,no,yes,no,cellular,may,failure
admin,single,tertiary,no,yes,no,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,failure
management,single,tertiary,no,yes,yes,cellular,may,unknown
services,single,secondary,no,yes,no,cellular,may,success
admin,single,secondary,no,yes,yes,cellular,may,unknown
blue-collar,married,primary,no,yes,no,cellular,may,unknown
services,married,primary,no,yes,yes,cellular,may,other
technician,married,secondary,no,yes,no,cellular,may,unknown
admin,married,secondary,no,no,no,cellular,may,other
blue-collar,married,unknown,no,yes,no,cellular,may,unknown
technician,single,tertiary,no,yes,no,cellular,may,failure
management,married,tertiary,no,yes,no,cellular,may,success
admin,single,secondary,no,yes,no,cellular,may,failure
blue-collar,single,secondary,no,yes,no,cellular,may,unknown
housemaid,married,tertiary,no,yes,no,cellular,may,unknown
blue-collar,single,primary,no,yes,no,cellular,may,other
unemployed,married,secondary,no,yes,no,cellular,may,failure
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
admin,married,secondary,yes,yes,yes,cellular,may,other
services,divorced,secondary,no,yes,yes,cellular,may,failure
technician,divorced,secondary,no,yes,no,cellular,may,unknown
blue-collar,divorced,secondary,no,yes,no,cellular,may,failure
admin,single,secondary,no,yes,no,cellular,may,failure
technician,single,secondary,no,yes,no,cellular,may,unknown
admin,married,secondary,no,yes,no,cellular,may,failure
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,success
blue-collar,divorced,primary,no,yes,yes,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,unknown
management,married,tertiary,no,yes,yes,cellular,may,success
technician,single,tertiary,no,yes,no,cellular,may,unknown
technician,single,tertiary,no,yes,no,cellular,may,unknown
blue-collar,divorced,primary,no,yes,yes,cellular,may,unknown
admin,divorced,tertiary,no,no,no,cellular,may,unknown
retired,married,tertiary,no,yes,yes,cellular,may,other
retired,married,primary,no,no,yes,telephone,may,failure
management,married,tertiary,no,yes,yes,cellular,may,failure
self-employed,single,tertiary,no,yes,no,cellular,may,unknown
self-employed,married,secondary,no,yes,no,cellular,may,unknown
admin,single,secondary,no,yes,yes,cellular,may,failure
management,divorced,tertiary,no,yes,no,cellular,may,failure
services,married,secondary,no,yes,no,cellular,may,unknown
services,married,secondary,no,yes,no,cellular,may,unknown
blue-collar,married,secondary,no,no,no,cellular,may,unknown
services,single,secondary,no,yes,no,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,unknown
services,married,secondary,no,yes,no,cellular,may,failure
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
student,single,primary,no,yes,no,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,other
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
admin,divorced,secondary,no,yes,no,cellular,may,unknown
entrepreneur,married,primary,no,yes,no,cellular,may,unknown
admin,divorced,secondary,no,yes,no,cellular,may,failure
housemaid,single,primary,no,yes,no,cellular,may,failure
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
admin,married,secondary,no,yes,yes,cellular,may,unknown
blue-collar,married,primary,no,yes,yes,cellular,may,unknown
entrepreneur,married,secondary,no,yes,no,cellular,may,unknown
services,divorced,secondary,no,yes,no,cellular,may,other
blue-collar,married,primary,no,yes,yes,cellular,may,unknown
admin,single,secondary,no,yes,no,cellular,may,other
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,failure
admin,married,secondary,no,yes,no,cellular,may,failure
blue-collar,divorced,primary,no,yes,no,cellular,may,unknown
services,married,secondary,no,yes,no,cellular,may,success
blue-collar,single,secondary,no,yes,no,cellular,may,success
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
admin,married,secondary,no,yes,yes,cellular,may,other
services,single,secondary,no,yes,no,cellular,may,unknown
blue-collar,married,primary,no,yes,no,cellular,may,success
blue-collar,married,primary,no,yes,yes,cellular,may,unknown
blue-collar,married,secondary,no,yes,yes,cellular,may,unknown
admin,single,primary,no,yes,no,cellular,may,other
admin,single,tertiary,no,yes,no,cellular,may,unknown
technician,married,secondary,no,yes,yes,cellular,may,unknown
services,single,secondary,no,yes,no,cellular,may,unknown
services,married,secondary,no,yes,no,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,unknown
self-employed,divorced,tertiary,no,yes,no,cellular,may,unknown
admin,married,secondary,no,yes,no,telephone,may,success
blue-collar,married,secondary,no,no,yes,cellular,may,unknown
blue-collar,married,unknown,no,yes,no,cellular,may,unknown
blue-collar,married,primary,no,yes,no,cellular,may,unknown
blue-collar,married,primary,no,yes,no,cellular,may,failure
admin,single,secondary,no,yes,no,cellular,may,unknown
blue-collar,single,secondary,no,yes,no,cellular,may,unknown
blue-collar,single,primary,no,yes,no,cellular,may,unknown
blue-collar,married,primary,no,yes,no,cellular,may,unknown
housemaid,single,primary,no,yes,no,cellular,may,unknown
blue-collar,married,primary,no,no,no,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,unknown
blue-collar,married,primary,no,yes,no,cellular,may,unknown
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
housemaid,single,primary,no,yes,no,cellular,may,unknown
technician,married,secondary,no,yes,no,cellular,may,failure
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
admin,divorced,secondary,no,yes,no,cellular,may,success
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
blue-collar,single,secondary,no,yes,yes,cellular,may,failure
management,married,tertiary,no,yes,no,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,failure
blue-collar,single,primary,no,yes,no,cellular,may,unknown
admin,divorced,secondary,no,yes,no,cellular,may,unknown
admin,married,secondary,no,yes,no,cellular,may,unknown
services,married,secondary,no,yes,no,cellular,may,unknown
services,divorced,secondary,no,yes,yes,cellular,may,unknown
blue-collar,single,primary,no,yes,no,telephone,may,unknown
student,single,tertiary,no,yes,no,cellular,may,unknown
management,single,tertiary,no,yes,no,cellular,may,failure
blue-collar,divorced,primary,no,yes,no,cellular,may,failure
services,single,secondary,no,yes,no,cellular,may,unknown
blue-collar,single,primary,no,yes,yes,cellular,may,unknown
blue-collar,single,primary,no,yes,no,cellular,may,unknown
technician,divorced,secondary,no,yes,yes,cellular,may,failure
management,single,tertiary,no,yes,no,cellular,may,unknown
blue-collar,divorced,primary,no,yes,no,cellular,may,unknown
services,divorced,secondary,no,yes,no,cellular,may,unknown
blue-collar,married,primary,no,yes,no,cellular,may,failure
technician,single,tertiary,no,yes,yes,cellular,may,unknown
blue-collar,married,primary,no,yes,no,telephone,may,unknown
admin,divorced,secondary,no,yes,no,cellular,may,success
blue-collar,single,primary,no,yes,no,cellular,may,other
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
blue-collar,single,secondary,no,yes,no,cellular,may,unknown
admin,divorced,secondary,no,yes,no,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,other
self-employed,single,tertiary,no,yes,no,cellular,may,failure
blue-collar,divorced,primary,no,no,no,cellular,may,failure
management,married,tertiary,no,yes,no,cellular,may,unknown
services,married,secondary,no,yes,no,cellular,may,unknown
blue-collar,single,secondary,no,yes,no,cellular,may,failure
admin,married,secondary,no,yes,no,cellular,may,success
admin,divorced,secondary,no,yes,yes,cellular,may,unknown
management,married,tertiary,no,yes,no,cellular,may,other
blue-collar,married,primary,no,yes,yes,cellular,may,failure
admin,married,secondary,no,yes,no,cellular,may,unknown
blue-collar,married,secondary,no,yes,no,cellular,may,failure
management,married,tertiary,no,yes,no,cellular,may,failure
blue-collar,single,secondary,no,yes,no,cellular,may,unknown
admin,married,primary,no,yes,yes,cellular,may,unknown
self-employed,divorced,tertiary,no,yes,no,cellular,may,success
admin,divorced,secondary,no,yes,no,cellular,may,unknown
management,divorced,tertiary,no,yes,no,cellular,may,unknown
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
blue-collar,divorced,secondary,no,yes,no,cellular,may,failure
blue-collar,married,secondary,no,yes,no,cellular,may,unknown
services,married,secondary,no,yes,no,cellular,may,unknown
management,divorced,tertiary,no,yes,no,cellular,may,unknown
blue-collar,single,secondary,no,yes,no,cellular,may,success
admin,single,secondary,no,yes,yes,cellular,may,unknown
retired,divorced,secondary,no,no,no,cellular,may,unknown
