"['self', 'employed', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'feb', 'other']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'success']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'feb', 'failure']"
"['technician', 'married', 'tertiary', 'no', 'no', 'yes', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['housemaid', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'feb', 'failure']"
"['services', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'jan', 'failure']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'success']"
"['technician', 'divorced', 'unknown', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'mar', 'failure']"
"['unemployed', 'divorced', 'tertiary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'other']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'success']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'other']"
"['entrepreneur', 'married', 'primary', 'no', 'yes', 'no', 'telephone', 'sep', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['entrepreneur', 'single', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'single', 'secondary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['unemployed', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['housemaid', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['unknown', 'married', 'unknown', 'no', 'no', 'no', 'telephone', 'apr', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'feb', 'unknown']"
"['admin', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'aug', 'success']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'single', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jun', 'failure']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'success']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'aug', 'success']"
"['retired', 'divorced', 'primary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['self', 'employed', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['technician', 'married', 'unknown', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['services', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'jan', 'success']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'yes', 'cellular', 'apr', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'telephone', 'jul', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jan', 'success']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'failure']"
"['management', 'single', 'unknown', 'no', 'yes', 'no', 'cellular', 'apr', 'failure']"
"['retired', 'divorced', 'primary', 'no', 'no', 'no', 'cellular', 'oct', 'unknown']"
"['blue', 'collar', 'single', 'primary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jan', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'dec', 'success']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'feb', 'success']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'apr', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'aug', 'failure']"
"['management', 'married', 'tertiary', 'no', 'yes', 'yes', 'unknown', 'jun', 'unknown']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['unemployed', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'success']"
"['self', 'employed', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'feb', 'failure']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'nov', 'success']"
"['entrepreneur', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'other']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'feb', 'other']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jan', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'oct', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'other']"
"['self', 'employed', 'married', 'secondary', 'no', 'no', 'yes', 'cellular', 'oct', 'success']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'oct', 'failure']"
"['management', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'oct', 'success']"
"['unemployed', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'dec', 'unknown']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'success']"
"['unemployed', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['services', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['management', 'married', 'tertiary', 'no', 'yes', 'yes', 'cellular', 'aug', 'other']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['retired', 'divorced', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'success']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'other']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'other']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['retired', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'success']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['services', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['housemaid', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'mar', 'unknown']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['admin', 'divorced', 'secondary', 'no', 'no', 'yes', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'may', 'other']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'may', 'failure']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'married', 'tertiary', 'no', 'no', 'yes', 'cellular', 'aug', 'success']"
"['self', 'employed', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'nov', 'failure']"
"['technician', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'jan', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['entrepreneur', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'may', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'nov', 'failure']"
"['entrepreneur', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'divorced', 'secondary', 'no', 'yes', 'yes', 'cellular', 'may', 'success']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'apr', 'other']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['entrepreneur', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'feb', 'other']"
"['self', 'employed', 'single', 'secondary', 'no', 'no', 'no', 'telephone', 'may', 'unknown']"
"['management', 'divorced', 'secondary', 'no', 'no', 'yes', 'telephone', 'dec', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'no', 'no', 'telephone', 'apr', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['services', 'single', 'secondary', 'no', 'no', 'yes', 'telephone', 'jan', 'unknown']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'yes', 'yes', 'cellular', 'may', 'failure']"
"['admin', 'divorced', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['housemaid', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'telephone', 'may', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['services', 'single', 'secondary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['student', 'single', 'unknown', 'no', 'no', 'no', 'cellular', 'dec', 'failure']"
"['management', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'nov', 'failure']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'yes', 'cellular', 'aug', 'success']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'unknown', 'nov', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'feb', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'success']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
"['self', 'employed', 'married', 'unknown', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['technician', 'divorced', 'tertiary', 'no', 'no', 'yes', 'cellular', 'aug', 'unknown']"
"['housemaid', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'divorced', 'unknown', 'yes', 'yes', 'yes', 'cellular', 'apr', 'failure']"
"['technician', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'failure']"
"['technician', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'yes', 'cellular', 'feb', 'failure']"
"['technician', 'divorced', 'secondary', 'yes', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'jun', 'failure']"
"['management', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'nov', 'success']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'yes', 'unknown', 'may', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'telephone', 'oct', 'success']"
"['entrepreneur', 'married', 'tertiary', 'no', 'no', 'no', 'telephone', 'nov', 'unknown']"
"['management', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['entrepreneur', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['admin', 'divorced', 'secondary', 'no', 'no', 'yes', 'cellular', 'jan', 'unknown']"
"['retired', 'divorced', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['self', 'employed', 'divorced', 'tertiary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['housemaid', 'divorced', 'primary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'success']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'other']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'success']"
"['student', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'feb', 'failure']"
"['blue', 'collar', 'married', 'primary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'divorced', 'primary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'success']"
"['technician', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['retired', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'telephone', 'may', 'unknown']"
"['admin', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'feb', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jun', 'failure']"
"['blue', 'collar', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['admin', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'feb', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'success']"
"['management', 'married', 'tertiary', 'no', 'no', 'yes', 'cellular', 'jun', 'unknown']"
"['technician', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['housemaid', 'married', 'primary', 'no', 'no', 'no', 'telephone', 'jul', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'jul', 'unknown']"
"['retired', 'married', 'unknown', 'no', 'no', 'yes', 'unknown', 'jul', 'unknown']"
"['unemployed', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['services', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'yes', 'unknown', 'jun', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'failure']"
"['management', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['retired', 'divorced', 'primary', 'no', 'yes', 'yes', 'cellular', 'jan', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['student', 'married', 'unknown', 'no', 'no', 'no', 'cellular', 'jul', 'failure']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'yes', 'unknown', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'yes', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'nov', 'success']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'failure']"
"['services', 'married', 'primary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'feb', 'success']"
"['entrepreneur', 'married', 'unknown', 'no', 'yes', 'no', 'cellular', 'nov', 'failure']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'telephone', 'nov', 'unknown']"
"['management', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'failure']"
"['self', 'employed', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'sep', 'success']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'aug', 'success']"
"['blue', 'collar', 'married', 'primary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'mar', 'failure']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['unemployed', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['housemaid', 'divorced', 'primary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'oct', 'success']"
"['services', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['entrepreneur', 'single', 'secondary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'yes', 'cellular', 'may', 'other']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'may', 'other']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['admin', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'divorced', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['housemaid', 'single', 'primary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jan', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['management', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'success']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['admin', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'jun', 'other']"
"['unknown', 'married', 'unknown', 'no', 'no', 'no', 'telephone', 'jul', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['technician', 'divorced', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'oct', 'success']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['services', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['housemaid', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['retired', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'jan', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['entrepreneur', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'yes', 'telephone', 'may', 'unknown']"
